E (eV)	eps1 	eps2 		
2.5926	7.7016	1.3729E-5
2.5895	7.6968	1.308E-5
2.5863	7.692	1.2463E-5
2.5832	7.6872	1.1874E-5
2.58	7.6825	1.1312E-5
2.577	7.6778	1.0783E-5
2.5739	7.6732	1.0278E-5
2.5708	7.6686	9.7963E-6
2.5677	7.664	9.3372E-6
2.5647	7.6594	8.9002E-6
2.5616	7.6549	8.4826E-6
2.5586	7.6504	8.0863E-6
2.5555	7.6459	7.7078E-6
2.5525	7.6414	7.346E-6
2.5495	7.637	7.0028E-6
2.5464	7.6326	6.6748E-6
2.5434	7.6282	6.3615E-6
2.5404	7.6238	6.0643E-6
2.5374	7.6195	5.7802E-6
2.5344	7.6152	5.5098E-6
2.5315	7.6109	5.2523E-6
2.5285	7.6066	5.0063E-6
2.5255	7.6024	4.7721E-6
2.5226	7.5981	4.5491E-6
2.5196	7.5939	4.3361E-6
2.5166	7.5898	4.134E-6
2.5137	7.5856	3.9402E-6
2.5108	7.5815	3.7564E-6
2.5078	7.5774	3.5808E-6
2.5049	7.5733	3.4136E-6
2.502	7.5693	3.2539E-6
2.4991	7.5652	3.1023E-6
2.4962	7.5612	2.9575E-6
2.4933	7.5572	2.8193E-6
2.4904	7.5532	2.6876E-6
2.4875	7.5493	2.5622E-6
2.4847	7.5454	2.4429E-6
2.4818	7.5415	2.3289E-6
2.4789	7.5376	2.2204E-6
2.4761	7.5337	2.117E-6
2.4732	7.5299	2.0183E-6
2.4704	7.526	1.9243E-6
2.4676	7.5222	1.8345E-6
2.4647	7.5184	1.7491E-6
2.4619	7.5147	1.6677E-6
2.4591	7.5109	1.5902E-6
2.4563	7.5072	1.5162E-6
2.4535	7.5035	1.4458E-6
2.4507	7.4998	1.3785E-6
2.4479	7.4961	1.3144E-6
2.4451	7.4925	1.2534E-6
2.4423	7.4889	1.1951E-6
2.4396	7.4852	1.1396E-6
2.4368	7.4816	1.0866E-6
2.434	7.4781	1.0363E-6
2.4313	7.4745	9.8813E-7
2.4285	7.471	9.424E-7
2.4258	7.4675	8.9871E-7
2.4231	7.4639	8.5696E-7
2.4203	7.4605	8.1736E-7
2.4176	7.457	7.7953E-7
2.4149	7.4535	7.4337E-7
2.4122	7.4501	7.0895E-7
2.4095	7.4467	6.762E-7
2.4068	7.4433	6.4489E-7
2.4041	7.4399	6.1508E-7
2.4014	7.4365	5.8672E-7
2.3987	7.4332	5.596E-7
2.3961	7.4299	5.3379E-7
2.3934	7.4265	5.0912E-7
2.3907	7.4233	4.8564E-7
2.3881	7.42	4.632E-7
2.3854	7.4167	4.4184E-7
2.3828	7.4134	4.215E-7
2.3801	7.4102	4.0207E-7
2.3775	7.407	3.8357E-7
2.3749	7.4038	3.6595E-7
2.3723	7.4006	3.4912E-7
2.3697	7.3974	3.3303E-7
2.3671	7.3943	3.1771E-7
2.3644	7.3911	3.0313E-7
2.3619	7.388	2.8919E-7
2.3593	7.3849	2.7592E-7
2.3567	7.3818	2.6329E-7
2.3541	7.3787	2.5121E-7
2.3515	7.3756	2.3967E-7
2.3489	7.3726	2.2869E-7
2.3464	7.3695	2.1822E-7
2.3438	7.3665	2.0822E-7
2.3413	7.3635	1.987E-7
2.3387	7.3605	1.8964E-7
2.3362	7.3575	1.8094E-7
2.3337	7.3546	1.7269E-7
2.3311	7.3516	1.648E-7
2.3286	7.3487	1.5729E-7
2.3261	7.3457	1.5011E-7
2.3236	7.3428	1.4325E-7
2.3211	7.3399	1.3671E-7
2.3186	7.337	1.3049E-7
2.3161	7.3342	1.2454E-7
2.3136	7.3313	1.1888E-7
2.3111	7.3285	1.1348E-7
2.3086	7.3256	1.0833E-7
2.3061	7.3228	1.034E-7
2.3037	7.32	9.8702E-8
2.3012	7.3172	9.4213E-8
2.2987	7.3144	8.9938E-8
2.2963	7.3116	8.5867E-8
2.2938	7.3089	8.1976E-8
2.2914	7.3061	7.8267E-8
2.2889	7.3034	7.4723E-8
2.2865	7.3007	7.1335E-8
2.2841	7.298	6.8105E-8
2.2817	7.2953	6.5032E-8
2.2792	7.2926	6.2093E-8
2.2768	7.2899	5.9292E-8
2.2744	7.2873	5.6615E-8
2.272	7.2846	5.4066E-8
2.2696	7.282	5.1626E-8
2.2672	7.2794	4.9303E-8
2.2648	7.2768	4.7082E-8
2.2625	7.2742	4.4966E-8
2.2601	7.2716	4.2941E-8
2.2577	7.269	4.1014E-8
2.2553	7.2664	3.917E-8
2.253	7.2639	3.7406E-8
2.2506	7.2613	3.5734E-8
2.2483	7.2588	3.4127E-8
2.2459	7.2563	3.2603E-8
2.2436	7.2537	3.1138E-8
2.2412	7.2512	2.9744E-8
2.2389	7.2488	2.8415E-8
2.2366	7.2463	2.7144E-8
2.2343	7.2438	2.5943E-8
2.232	7.2414	2.4794E-8
2.2297	7.239	2.3699E-8
2.2274	7.2366	2.2651E-8
2.2251	7.2342	2.1648E-8
2.2228	7.2318	2.0691E-8
2.2206	7.2294	1.978E-8
2.2183	7.227	1.8908E-8
2.216	7.2246	1.8073E-8
2.2138	7.2223	1.7277E-8
2.2115	7.2199	1.6519E-8
2.2092	7.2176	1.579E-8
2.207	7.2153	1.5098E-8
2.2048	7.213	1.4432E-8
2.2025	7.2107	1.3801E-8
2.2003	7.2084	1.3193E-8
2.1981	7.2061	1.2615E-8
2.1958	7.2038	1.2063E-8
2.1936	7.2015	1.1535E-8
2.1914	7.1993	1.1029E-8
2.1892	7.197	1.0546E-8
2.187	7.1948	1.0087E-8
2.1848	7.1926	9.6466E-9
2.1826	7.1903	9.225E-9
2.1804	7.1881	8.8215E-9
2.1782	7.1859	8.4385E-9
2.176	7.1837	8.0697E-9
2.1738	7.1815	7.7185E-9
2.1717	7.1794	7.3837E-9
2.1695	7.1772	7.0612E-9
2.1673	7.175	6.7553E-9
2.1651	7.1729	6.4611E-9
2.163	7.1708	6.1819E-9
